,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2014-10-01,234570.69304577602,399779.8965662194,169424.63658913734,268918.1480364196,296293.5196413391,157534.52933183117,120899.59469926705,326831.005652757,194604.3639245799,261356.39529763488,264646.70847246476,160605.0824497086,471475.5461033622,196600.15358597398,488821.9936077812,218865.77689143628,229667.70729226517,146860.54878495485,205333.38020882825,187812.23990909848,160097.15709058478,270356.4511110429,157315.13572931063,148411.889059622,156967.65009141836,228112.61945269568,142684.70033634803,244254.62846423467,165781.13244620245,224569.38480712337,267182.4749331179,181435.63282483767,132478.5258918441,158369.8295960398,122685.01389449259,114609.49764085468,119115.91374817798,100810.69163930528,179246.93945779136,208057.636167906,236642.85541736262,111110.31285598552,129332.75287843456,120776.89710159511,226485.91183178857,214716.69674631153,115704.38934516639,165499.31165070878,136812.2623374176,127905.3511589484,118149.1149610498
2014-11-01,234806.199007745,403341.3748926251,170508.7833089115,269568.83595660795,296390.40651337215,158360.19352847536,121105.10996527459,327604.60236111697,195044.04007952256,262595.5026364612,267095.3821702854,160944.5529964257,473848.83619926515,197726.21829752554,491795.515392629,219225.82491658887,230181.34937300847,147407.5018788276,206029.5778942163,188135.83288185982,160741.58040803726,271060.75401472,157108.5574194929,148567.18870292127,157111.1237434064,228001.48633901714,143029.66970118263,245668.71253023096,165863.53053373436,225060.76107313388,268483.6978999584,181167.25464306562,132206.8321731746,158206.473913973,122739.26377377629,115137.05354725814,119188.47906535714,101517.05276975856,179482.62716041136,209526.68807065158,236399.7206758455,110974.1994999256,129425.18826331885,121074.59194995079,227387.14343776458,215150.4026211401,116115.11073636083,165596.44226546187,136956.8140584695,127590.61209368442,118112.32121395058
2014-12-01,235063.6786433719,406629.79156413535,171794.34945046113,270124.13251123414,296360.25604799157,159326.19100524747,121392.554536529,328726.5960543601,195484.6682635244,264259.08070289186,269747.5125084869,161312.4801405512,476479.9377123846,198591.72824208206,493993.9473522203,219769.34142172374,230884.59612147164,147993.81841899312,206812.89616668635,188574.8651041444,161641.24270127405,271386.3157817612,157089.90025482202,148807.28351306845,157402.2889666971,227759.87699735598,143466.39389299985,247397.6883418243,166128.19182207272,225452.73038412226,269278.4259478841,180943.37835597698,132038.46898511963,158312.23636071288,122842.08880878419,115788.87002666555,119347.62959275937,102218.46498964478,179733.3777716751,211160.30192792797,236313.70577767593,111028.49143941891,129704.91778481763,121594.9419263694,227997.31275209095,215840.0428733309,116744.00013087287,165796.08841392878,137291.48422386576,127721.30669277422,118249.1411197401
2015-01-01,235426.94377670172,409553.4450684837,173197.91849373677,270540.0863081958,296306.0476023573,160535.03894140196,121905.67489209656,330526.1412876973,196133.3044178648,266415.3686478774,272755.6245936248,161543.5113004343,478162.6530390948,199642.47821808886,496511.02740997873,220385.03065317133,232056.97546244922,148575.16815128687,207814.9226863019,189337.55540088261,162608.28019315307,271463.3441181732,157169.2213821207,149184.51289582704,157901.72238238293,227790.12340587386,143999.12738870064,249368.25237730332,166361.06891024965,225815.9485697297,270165.4575232819,180873.63912499187,131937.05422844118,158728.05613481163,123010.75251972147,116532.37334179222,119589.84770504157,102998.36785861179,180242.0529428846,212662.04656743282,236468.8716777018,111143.84058910883,130057.70798558037,122102.36028452287,228987.19980617112,216916.3624637413,117337.97358226198,166380.2855506461,137711.2724233257,128280.21799822873,118590.43537037296
2015-02-01,235785.97444613473,412024.4919361838,174428.03171676878,270785.29643559066,296403.2496029442,161787.82010845383,122468.71119222144,332492.5789997186,196827.5226166678,268792.2152773964,276112.33401204954,161563.84533626534,479438.9253585528,200556.67624664446,499161.5634428463,221179.84704483463,233385.75381142285,149142.67806760166,208707.64422472325,190293.17950108554,163559.17931864053,271565.84574074106,157221.0827422002,149624.34450956373,158458.57492621682,228281.2229294283,144561.4316723897,251588.9912545552,166562.88548694414,226372.8809205813,270757.4848520118,181058.30245167945,131827.73841004516,159243.7799719948,123158.96112434228,117171.69803908985,119842.98731865776,103472.17135994245,181094.23889538238,214083.33861587217,236437.48729958214,111282.47503943446,130299.56162505028,122595.39168706433,230118.83872967897,218398.19501657807,117690.77834060765,167238.6056132311,138224.7713006262,129005.9938280467,118959.5835093985
2015-03-01,236146.7745208077,414047.01021106594,175514.1577434284,271034.28181751666,296839.5313158668,163012.58444784596,123246.59323303739,334274.52619461383,197786.50944195068,271018.68281690095,279375.60740057717,161799.0720273503,479997.99230037926,201748.63841227765,501493.4566114883,221986.79758865337,234878.5865478071,149779.76515829435,209672.5964016805,191399.72251294053,164310.48074684144,272055.9096704994,157411.8556714266,150204.70041232722,158999.1420589506,228906.93891139005,145198.24351956276,253602.28797609176,166947.07152511695,227121.42945787104,270957.17902529944,181337.06572245833,131927.36696600635,159840.98059825014,123421.75411579148,117881.88609416485,120117.72436164138,103922.28257756832,182228.37000596113,215496.54549588278,236740.7483972027,111500.54776591458,130604.33957287588,122984.86584229622,231312.32545185593,219896.50274198744,117959.39424539963,168041.3668403741,138755.3667098802,129729.54766647874,119387.17828000277
2015-04-01,236531.13349859268,416004.57453638845,176604.99862630913,271486.1567427512,297321.2818816759,164158.7191020967,124195.74331678293,335738.8276649457,198942.19412338734,273095.5504301426,282433.71920390823,162195.49058028506,481297.2002336409,203174.92442646562,503034.56947318814,223080.9853620217,236407.8473892474,150577.24137858264,210996.9028643505,192565.44150013686,165160.9554358077,272901.80516952067,157830.7626020237,150895.32548580132,159571.84034448746,229704.21898492274,145964.090898518,255549.44025181126,167588.79907261793,228015.79411790243,271532.301442309,182007.58498844018,132419.64335997394,160530.72373797823,123845.29364347347,118699.7156576108,120534.95261485141,104374.30328894635,183444.10876505694,217218.47753739115,237166.15474521156,112023.62451239722,131103.3717524416,123510.4287313397,232242.01781730636,221294.25283224447,118327.2031274673,168872.35396197884,139485.53776253943,130545.47619240273,119925.83341876371
2015-05-01,237027.99113836294,418217.9991554815,177840.5832018142,272297.60432129103,298085.3539604337,165255.29430065348,125278.93493275758,337067.8275679069,200325.2237482542,275131.85299340106,285239.2935522593,162949.1897304644,482574.1570694533,204877.1702304082,504810.4920793566,224173.0172569504,238026.84662975124,151457.01116464683,212463.0499421081,193695.71307112006,166084.92943870949,273722.8415326133,158422.30345177723,151707.20774278196,160204.19240504561,230579.5768719101,146836.64796051686,257375.34271757328,168193.10350147274,228673.3321128351,272416.7887972851,182834.14809862408,133045.11892455406,161306.52304619952,124244.05735659659,119713.48163994691,121049.05803833994,104897.62056742025,184824.05160850481,219057.7324474499,237681.51106393887,112652.97729698311,131798.7868106851,124039.94198091592,232803.6473103636,222471.4247335527,118761.57725313042,169660.8534822625,140250.06921408736,131248.30236301894,120606.77527487329
2015-06-01,237496.728437321,420486.2998974744,179107.47374653968,273186.98045910266,298619.02825474465,166347.5855883341,126241.72655339784,338176.66763809306,201702.72009723829,277066.211605836,287945.7449918979,163567.45941432987,484843.77557376557,206991.3271644183,506758.98067296343,225253.75723840715,239769.34279067206,152339.97629923603,213957.01733238852,194634.06771443758,166822.75073791973,274289.07739261404,158950.00641063473,152502.80029187433,160838.17677638374,231422.12687586364,147741.49813023096,259307.07995750057,168456.37854842734,229226.6856101098,273358.70073694125,183826.80251013362,133569.017508384,161972.3379802729,124652.2789729779,120599.0468349826,121624.67999146857,105371.16428710714,186106.4057016221,220664.85860272308,237887.91400243397,113245.22523844703,132441.25323937557,124517.35244258291,233477.62678179386,223565.53161749427,119008.46060682538,170533.5369987918,141009.28780734082,131804.0018057901,121262.10860866365
2015-07-01,238104.80763324606,422273.7129359562,180551.9636371016,274294.1427046217,299382.07003512577,167483.27624944324,127053.96415684353,339481.7186334196,203154.79620237977,279113.47815473564,290793.64307779324,164228.66138369628,487975.5711745432,209180.480031273,509385.1455417205,226348.8092425031,241729.98626531914,153311.75500952953,215325.2999166012,195451.79919384627,167362.54938614022,274898.1110580161,159578.27247757136,153323.0956673351,161510.52624365597,232185.87712862086,148699.6480292507,261506.23891055761,168675.54611817098,230095.13654832367,274417.28378886374,184905.0446849505,133924.5059073063,162477.6848876708,125140.08633121975,121529.34878560399,122142.89433649972,105775.13463708496,187357.16300131808,221833.19446253995,238211.08910982395,113752.05967472971,133150.42468785486,124998.35961377644,234415.84222940798,224988.5210951358,119251.08838998563,171226.51160874913,141677.58309078845,132195.14522741875,121942.50110596133
2015-08-01,238850.61469561083,423471.60758185823,182081.20042295824,275622.2142230074,300352.7921325406,168668.09678217454,127807.35571852647,341198.96034260857,204645.52072223823,281195.5074436933,293806.59488646605,164818.89274317122,491588.62632095366,211033.11980751043,512465.51907916274,227628.2278877419,244011.35280019275,154320.0300809015,216713.8538816344,196263.28499681174,167636.6444300144,275482.87067109393,160300.0807343716,154127.7654950733,162209.07840239044,232732.25046998545,149597.11725068255,264036.6344266759,168936.93527843113,231205.16035927212,275609.15242759784,185897.3882156562,134254.3666153299,162934.35216140305,125825.85137727663,122491.96339327471,122705.87376119794,106168.08652927732,188555.58863613033,222811.571394994,238540.51410494803,114331.08859360516,133930.12110286337,125643.2440899966,235646.40954745983,226572.03043704983,119504.70958418564,172044.00045197678,142479.5401954959,132758.61605772376,122658.84006232904
2015-09-01,239706.9046126605,424496.2139157814,183744.7238598439,277378.6191331936,301765.7540376126,169876.21172588295,128557.06353386688,343413.662700542,206318.94157054287,283585.91270557174,296979.33565143746,165503.99938546485,495668.7709062004,212653.79315809355,516576.7100776234,228986.26991679744,246335.93515345303,155388.16845502346,218140.4226998653,197201.39817936384,168131.86567776723,276246.53440067713,161006.78524933304,154927.69307395737,162965.22851226214,233275.8227200984,150531.31843702457,266806.68063290574,169416.04137232565,232552.0016628825,277453.66014595644,186963.62341388615,134544.97576819125,163366.33301285328,126545.10391601191,123558.01385543488,123159.47101018812,106729.96000888839,189829.61994815795,223557.9443723634,238973.79395394222,114876.843243149,134740.85353630627,126360.39555401991,236822.01069140714,228201.06154334903,119985.16144261211,172939.07413794062,143267.80188018735,133336.0654728084,123333.097141649
